model,mode,task_id,task_type,planning_exec_ready,spec_path,contract_compatible,execution_success,output_valid,row_or_pixel_count,required_fields_ok,geometry_or_raster_ok,duration_seconds,output_path,error_type,error_message
gemma3:4b,basic,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/gemma3_4b/basic/T018_basic.json,1,1,1,44,1,1,0.021,experiments/08_workflow_contract_execution/outputs/artifacts/gemma3_4b/basic/T018/T018_temperature_clip_boundary_crs.tif,,
mistral:7b,basic,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/mistral_7b/basic/T018_basic.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/mistral_7b/basic/T018/T018_temperature_clip_boundary_crs.tif,,
qwen2.5-coder:14b,basic,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/basic/T018_basic.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/basic/T018/T018_temperature_clip_boundary_crs.tif,,
qwen2.5-coder:32b,basic,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/basic/T018_basic.json,1,1,1,44,1,1,0.007,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/basic/T018/T018_temperature_clip_boundary_crs.tif,,
qwen2.5-coder:32b,basic,T020,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/basic/T020_basic.json,1,1,1,44,1,1,0.007,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/basic/T020/T020_temperature_clip_metadata.tif,,
qwen2.5-coder:3b,basic,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_3b/basic/T018_basic.json,1,1,1,44,1,1,0.007,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_3b/basic/T018/T018_temperature_clip_boundary_crs.tif,,
deepseek-coder:6.7b,grounded,T005,buffer_service_area,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/grounded/T005_grounded.json,1,1,1,116,1,1,0.047,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/grounded/T005/T005_buffer_hospitals_area.gpkg,,
deepseek-coder:6.7b,grounded,T011,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/grounded/T011_grounded.json,1,1,1,2498,1,1,0.105,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/grounded/T011/T011_school_count_by_tract.gpkg,,
deepseek-coder:6.7b,grounded,T012,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/grounded/T012_grounded.json,1,1,1,2498,1,1,0.084,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/grounded/T012/T012_hospital_count_by_tract.gpkg,,
deepseek-coder:6.7b,grounded,T013,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/grounded/T013_grounded.json,1,1,1,2498,1,1,0.113,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/grounded/T013/T013_school_density_by_tract.gpkg,,
deepseek-coder:6.7b,grounded,T014,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/grounded/T014_grounded.json,1,1,1,1399,1,1,0.078,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/grounded/T014/T014_tracts_with_schools.gpkg,,
deepseek-coder:6.7b,grounded,T016,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/grounded/T016_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/grounded/T016/T016_temperature_clip.tif,,
deepseek-coder:6.7b,grounded,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/grounded/T018_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/grounded/T018/T018_temperature_clip_boundary_crs.tif,,
deepseek-coder:6.7b,grounded,T019,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/grounded/T019_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/grounded/T019/T019_temperature_clip_compressed.tif,,
deepseek-coder:6.7b,grounded,T020,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/grounded/T020_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/grounded/T020/T020_temperature_clip_metadata.tif,,
deepseek-coder:6.7b,grounded,T030,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/grounded/T030_grounded.json,1,1,1,121807,1,1,0.617,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/grounded/T030/T030_multivariate_risk_map.png,,
gemma3:4b,grounded,T016,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/gemma3_4b/grounded/T016_grounded.json,1,1,1,117,1,1,0.009,experiments/08_workflow_contract_execution/outputs/artifacts/gemma3_4b/grounded/T016/T016_temperature_clip.tif,,
gemma3:4b,grounded,T017,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/gemma3_4b/grounded/T017_grounded.json,1,1,1,117,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/gemma3_4b/grounded/T017/T017_temperature_clip_nodata.tif,,
gemma3:4b,grounded,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/gemma3_4b/grounded/T018_grounded.json,1,1,1,117,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/gemma3_4b/grounded/T018/T018_temperature_clip_boundary_crs.tif,,
gemma3:4b,grounded,T019,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/gemma3_4b/grounded/T019_grounded.json,1,1,1,117,1,1,0.022,experiments/08_workflow_contract_execution/outputs/artifacts/gemma3_4b/grounded/T019/T019_temperature_clip_compressed.tif,,
gemma3:4b,grounded,T020,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/gemma3_4b/grounded/T020_grounded.json,1,1,1,117,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/gemma3_4b/grounded/T020/T020_temperature_clip_metadata.tif,,
gemma3:4b,grounded,T026,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/gemma3_4b/grounded/T026_grounded.json,1,1,1,117700,1,1,0.336,experiments/08_workflow_contract_execution/outputs/artifacts/gemma3_4b/grounded/T026/T026_temperature_choropleth.png,,
gemma3:4b,grounded,T027,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/gemma3_4b/grounded/T027_grounded.json,1,1,1,122199,1,1,0.394,experiments/08_workflow_contract_execution/outputs/artifacts/gemma3_4b/grounded/T027/T027_school_density_choropleth.png,,
gemma3:4b,grounded,T028,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/gemma3_4b/grounded/T028_grounded.json,0,0,0,0,0,0,0.000,,ValueError,missing expected layer mentions: ['zonal_input_for_map']
gemma3:4b,grounded,T029,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/gemma3_4b/grounded/T029_grounded.json,1,1,1,124038,1,1,0.387,experiments/08_workflow_contract_execution/outputs/artifacts/gemma3_4b/grounded/T029/T029_hospital_access_choropleth.png,,
gemma3:4b,grounded,T030,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/gemma3_4b/grounded/T030_grounded.json,1,1,1,120561,1,1,0.601,experiments/08_workflow_contract_execution/outputs/artifacts/gemma3_4b/grounded/T030/T030_multivariate_risk_map.png,,
llama3.2:3b,grounded,T001,buffer_service_area,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T001_grounded.json,1,1,1,116,1,1,0.141,experiments/08_workflow_contract_execution/outputs/artifacts/llama3.2_3b/grounded/T001/T001_buffer_hospitals.gpkg,,
llama3.2:3b,grounded,T002,buffer_service_area,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T002_grounded.json,0,0,0,0,0,0,0.000,,ValueError,missing expected layer mentions: ['study_boundary']
llama3.2:3b,grounded,T003,buffer_service_area,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T003_grounded.json,1,1,1,1,1,1,0.815,experiments/08_workflow_contract_execution/outputs/artifacts/llama3.2_3b/grounded/T003/T003_buffer_hospitals_dissolved.gpkg,,
llama3.2:3b,grounded,T004,buffer_service_area,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T004_grounded.json,1,1,1,116,1,1,0.108,experiments/08_workflow_contract_execution/outputs/artifacts/llama3.2_3b/grounded/T004/T004_buffer_hospitals_named.gpkg,,
llama3.2:3b,grounded,T005,buffer_service_area,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T005_grounded.json,1,1,1,116,1,1,0.112,experiments/08_workflow_contract_execution/outputs/artifacts/llama3.2_3b/grounded/T005/T005_buffer_hospitals_area.gpkg,,
llama3.2:3b,grounded,T014,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T014_grounded.json,1,1,1,1399,1,1,0.078,experiments/08_workflow_contract_execution/outputs/artifacts/llama3.2_3b/grounded/T014/T014_tracts_with_schools.gpkg,,
llama3.2:3b,grounded,T015,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T015_grounded.json,0,0,0,0,0,0,0.000,,ValueError,missing expected layer mentions: ['hospital_points']
llama3.2:3b,grounded,T016,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T016_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/llama3.2_3b/grounded/T016/T016_temperature_clip.tif,,
llama3.2:3b,grounded,T017,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T017_grounded.json,0,0,0,0,0,0,0.000,,ValueError,missing expected layer mentions: ['study_boundary']
llama3.2:3b,grounded,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T018_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/llama3.2_3b/grounded/T018/T018_temperature_clip_boundary_crs.tif,,
llama3.2:3b,grounded,T019,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T019_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/llama3.2_3b/grounded/T019/T019_temperature_clip_compressed.tif,,
llama3.2:3b,grounded,T020,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T020_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/llama3.2_3b/grounded/T020/T020_temperature_clip_metadata.tif,,
llama3.2:3b,grounded,T026,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T026_grounded.json,1,1,1,117700,1,1,0.346,experiments/08_workflow_contract_execution/outputs/artifacts/llama3.2_3b/grounded/T026/T026_temperature_choropleth.png,,
llama3.2:3b,grounded,T028,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/llama3.2_3b/grounded/T028_grounded.json,0,0,0,0,0,0,0.000,,ValueError,missing expected layer mentions: ['zonal_input_for_map']
mistral:7b,grounded,T017,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/mistral_7b/grounded/T017_grounded.json,0,0,0,0,0,0,0.000,,ValueError,missing expected layer mentions: ['study_boundary']
mistral:7b,grounded,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/mistral_7b/grounded/T018_grounded.json,1,1,1,117,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/mistral_7b/grounded/T018/T018_temperature_clip_boundary_crs.tif,,
mistral:7b,grounded,T020,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/mistral_7b/grounded/T020_grounded.json,1,1,1,117,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/mistral_7b/grounded/T020/T020_temperature_clip_metadata.tif,,
mistral:7b,grounded,T026,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/mistral_7b/grounded/T026_grounded.json,1,1,1,117700,1,1,0.351,experiments/08_workflow_contract_execution/outputs/artifacts/mistral_7b/grounded/T026/T026_temperature_choropleth.png,,
qwen2.5-coder:1.5b,grounded,T011,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_1.5b/grounded/T011_grounded.json,1,1,1,2498,1,1,0.098,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_1.5b/grounded/T011/T011_school_count_by_tract.gpkg,,
qwen2.5-coder:1.5b,grounded,T013,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_1.5b/grounded/T013_grounded.json,1,1,1,2498,1,1,0.100,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_1.5b/grounded/T013/T013_school_density_by_tract.gpkg,,
qwen2.5-coder:1.5b,grounded,T016,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_1.5b/grounded/T016_grounded.json,1,1,1,44,1,1,0.009,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_1.5b/grounded/T016/T016_temperature_clip.tif,,
qwen2.5-coder:1.5b,grounded,T017,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_1.5b/grounded/T017_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_1.5b/grounded/T017/T017_temperature_clip_nodata.tif,,
qwen2.5-coder:1.5b,grounded,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_1.5b/grounded/T018_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_1.5b/grounded/T018/T018_temperature_clip_boundary_crs.tif,,
qwen2.5-coder:1.5b,grounded,T019,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_1.5b/grounded/T019_grounded.json,1,1,1,44,1,1,0.007,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_1.5b/grounded/T019/T019_temperature_clip_compressed.tif,,
qwen2.5-coder:1.5b,grounded,T020,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_1.5b/grounded/T020_grounded.json,1,1,1,44,1,1,0.007,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_1.5b/grounded/T020/T020_temperature_clip_metadata.tif,,
qwen2.5-coder:14b,grounded,T002,buffer_service_area,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T002_grounded.json,1,1,1,116,1,1,0.031,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T002/T002_buffer_hospitals_2500m.gpkg,,
qwen2.5-coder:14b,grounded,T011,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T011_grounded.json,1,1,1,2498,1,1,0.096,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T011/T011_school_count_by_tract.gpkg,,
qwen2.5-coder:14b,grounded,T012,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T012_grounded.json,1,1,1,2498,1,1,0.084,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T012/T012_hospital_count_by_tract.gpkg,,
qwen2.5-coder:14b,grounded,T013,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T013_grounded.json,1,1,1,2498,1,1,0.098,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T013/T013_school_density_by_tract.gpkg,,
qwen2.5-coder:14b,grounded,T014,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T014_grounded.json,1,1,1,1399,1,1,0.090,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T014/T014_tracts_with_schools.gpkg,,
