model,mode,task_id,task_type,mutation_type,detected,detection_reasons
deepseek-coder:6.7b,basic,T006,overlay_intersection,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,basic,T006,overlay_intersection,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,basic,T006,overlay_intersection,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,basic,T006,overlay_intersection,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,basic,T007,overlay_intersection,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,basic,T007,overlay_intersection,missing_required_layer_role,0,
deepseek-coder:6.7b,basic,T007,overlay_intersection,hallucinated_layer_alias,1,hallucinated_layer_name
deepseek-coder:6.7b,basic,T007,overlay_intersection,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,basic,T018,raster_clip,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,basic,T018,raster_clip,missing_required_layer_role,1,missing_layer_roles;operation_mismatch
deepseek-coder:6.7b,basic,T018,raster_clip,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles;operation_mismatch
deepseek-coder:6.7b,basic,T018,raster_clip,wrong_output_filename,1,operation_mismatch;output_filename_mismatch
deepseek-coder:6.7b,basic,T021,zonal_statistics,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,basic,T021,zonal_statistics,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,basic,T021,zonal_statistics,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,basic,T021,zonal_statistics,wrong_output_filename,1,output_filename_mismatch
gemma3:4b,basic,T006,overlay_intersection,wrong_operation_family,1,operation_mismatch
gemma3:4b,basic,T006,overlay_intersection,missing_required_layer_role,0,
gemma3:4b,basic,T006,overlay_intersection,hallucinated_layer_alias,1,hallucinated_layer_name
gemma3:4b,basic,T006,overlay_intersection,wrong_output_filename,1,output_filename_mismatch
gemma3:4b,basic,T007,overlay_intersection,wrong_operation_family,1,operation_mismatch
gemma3:4b,basic,T007,overlay_intersection,missing_required_layer_role,0,
gemma3:4b,basic,T007,overlay_intersection,hallucinated_layer_alias,1,hallucinated_layer_name
gemma3:4b,basic,T007,overlay_intersection,wrong_output_filename,1,output_filename_mismatch
gemma3:4b,basic,T018,raster_clip,wrong_operation_family,1,operation_mismatch
gemma3:4b,basic,T018,raster_clip,missing_required_layer_role,1,missing_layer_roles
gemma3:4b,basic,T018,raster_clip,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
gemma3:4b,basic,T018,raster_clip,wrong_output_filename,1,output_filename_mismatch
gemma3:4b,basic,T021,zonal_statistics,wrong_operation_family,1,operation_mismatch
gemma3:4b,basic,T021,zonal_statistics,missing_required_layer_role,1,missing_layer_roles
gemma3:4b,basic,T021,zonal_statistics,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
gemma3:4b,basic,T021,zonal_statistics,wrong_output_filename,1,output_filename_mismatch
gemma3:4b,basic,T022,zonal_statistics,wrong_operation_family,1,operation_mismatch
gemma3:4b,basic,T022,zonal_statistics,missing_required_layer_role,1,missing_layer_roles
gemma3:4b,basic,T022,zonal_statistics,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
gemma3:4b,basic,T022,zonal_statistics,wrong_output_filename,1,output_filename_mismatch
llama3.2:3b,basic,T001,buffer_service_area,wrong_operation_family,1,operation_mismatch
llama3.2:3b,basic,T001,buffer_service_area,missing_required_layer_role,0,
llama3.2:3b,basic,T001,buffer_service_area,hallucinated_layer_alias,1,hallucinated_layer_name
llama3.2:3b,basic,T001,buffer_service_area,wrong_output_filename,1,output_filename_mismatch
llama3.2:3b,basic,T001,buffer_service_area,geographic_crs_for_metric_buffer,1,unsafe_metric_crs
llama3.2:3b,basic,T007,overlay_intersection,wrong_operation_family,1,operation_mismatch
llama3.2:3b,basic,T007,overlay_intersection,missing_required_layer_role,0,
llama3.2:3b,basic,T007,overlay_intersection,hallucinated_layer_alias,0,
llama3.2:3b,basic,T007,overlay_intersection,wrong_output_filename,1,output_filename_mismatch
mistral:7b,basic,T006,overlay_intersection,wrong_operation_family,1,operation_mismatch
