model,mode,task_id,task_type,planning_exec_ready,spec_path,contract_compatible,execution_success,output_valid,row_or_pixel_count,required_fields_ok,geometry_or_raster_ok,duration_seconds,output_path,error_type,error_message
deepseek-coder:6.7b,basic,T001,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T001_basic.json,0,0,0,0,0,0,0.000,,FileNotFoundError,[Errno 2] No such file or directory: 'experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T001_basic.json'
deepseek-coder:6.7b,basic,T002,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T002_basic.json,0,0,0,0,0,0,0.000,,ValueError,"missing expected layer mentions: ['hospital_points', 'study_boundary']"
deepseek-coder:6.7b,basic,T003,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T003_basic.json,0,0,0,0,0,0,0.000,,ValueError,"missing expected layer mentions: ['hospital_points', 'study_boundary']"
deepseek-coder:6.7b,basic,T004,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T004_basic.json,0,0,0,0,0,0,0.000,,FileNotFoundError,[Errno 2] No such file or directory: 'experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T004_basic.json'
deepseek-coder:6.7b,basic,T005,buffer_service_area,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T005_basic.json,0,0,0,0,0,0,0.000,,ValueError,"missing expected layer mentions: ['hospital_points', 'study_boundary']"
deepseek-coder:6.7b,basic,T006,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T006_basic.json,1,1,1,1696,1,1,0.412,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/basic/T006/T006_flood_tract_overlay.gpkg,,
deepseek-coder:6.7b,basic,T007,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T007_basic.json,1,1,1,1696,1,1,0.343,experiments/08_workflow_contract_execution/outputs/artifacts/deepseek-coder_6.7b/basic/T007/T007_flood_tract_overlay_area.gpkg,,
deepseek-coder:6.7b,basic,T008,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T008_basic.json,0,0,0,0,0,0,0.000,,FileNotFoundError,[Errno 2] No such file or directory: 'experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T008_basic.json'
deepseek-coder:6.7b,basic,T009,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T009_basic.json,0,0,0,0,0,0,0.000,,ValueError,missing expected layer mentions: ['census_tracts']
deepseek-coder:6.7b,basic,T010,overlay_intersection,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T010_basic.json,0,0,0,0,0,0,0.000,,ValueError,"missing expected layer mentions: ['census_tracts', 'flood_zones']"
deepseek-coder:6.7b,basic,T011,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T011_basic.json,0,0,0,0,0,0,0.000,,ValueError,missing expected layer mentions: ['census_tracts']
deepseek-coder:6.7b,basic,T012,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T012_basic.json,0,0,0,0,0,0,0.000,,ValueError,"missing expected layer mentions: ['census_tracts', 'hospital_points']"
deepseek-coder:6.7b,basic,T013,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T013_basic.json,0,0,0,0,0,0,0.000,,ValueError,missing expected layer mentions: ['school_points']
deepseek-coder:6.7b,basic,T014,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T014_basic.json,0,0,0,0,0,0,0.000,,ValueError,"missing expected layer mentions: ['census_tracts', 'school_points']"
deepseek-coder:6.7b,basic,T015,point_count_join,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T015_basic.json,0,0,0,0,0,0,0.000,,FileNotFoundError,[Errno 2] No such file or directory: 'experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T015_basic.json'
deepseek-coder:6.7b,basic,T016,raster_clip,0,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/deepseek-coder_6.7b/basic/T016_basic.json,0,0,0,0,0,0,0.000,,ValueError,missing expected layer mentions: ['temperature_raster']
